id;username;text;created_at
1;@parvizchanel;Kagak percaya;24/05/2025 16:01
2;@riyadi1842;Vaksin dewe koe goblk;24/05/2025 15:23
3;@hjrosida2707;Menurut pandangan  saya sebagai  rakyat Indonesia asli.<br>Indonesia  bukanlah  negara miskin  , seperti yg dikatakan  bapak menkes ini. <br><br>Negara  Indonesia terkaya didunia  , dilihat dari  sumber daya  alam, baik di atas bumi  ,maupun  di dalam bumi  .;24/05/2025 13:46
4;@Bilalalfatir2024;Katanya semenjak di faksin bilGet autisme meningkat tu..lupa negara mana y..vietnam entah thailan;24/05/2025 13:26
5;@NONO53435;Banyak kali teori menteri ini... <br>Kamu duduk dulu dengan semua elemen, jelaskan kepada publik. <br><br>BERI HAK JAWAB PADA PUBLIK<br>Atau Rakyat Indonesia akan Turun Ke jalan, jika ini terus dipaksakan tanpa penjelasan, kita akan liat gelombang penolakan oleh Rakyat.;24/05/2025 12:39
6;@MasUdBanda-f1b;"Kalau andaikan vaksin tbc tidak berhasil gimna.. syapa yg mau bertanggung jawal dlam hal ini, dan kalu mau percobaan  boleh, tapi jangan kesemua masyarat, cukuplah ke pejabat&quot; negara dulu, atau ke wakil rakyat.  Na kalu berhasil , barulah di terusin ke masyarakat";24/05/2025 11:46
7;@sapabae-g3c6v;Menteri tidak berguna;24/05/2025 11:32
8;@rizkihariyanto3835;Negara paling IKHLAS didunia di korupsi di uji coba di janjiin;24/05/2025 09:52
9;@dhyanatitik8977;Jangan jadikan  rakyat kita jadi percobaan terkait vaksin !;24/05/2025 09:00
10;@rejekilancar6840;Ayolah debat terbuka...jgn jd pengecut. Klo memang vaksin memang baik, kenapa takut debat terbuka??????????????????? gasss lah debat terbuka...????????????;24/05/2025 08:59
11;@mohtauhid2069;Kelihatan sekali berbohongnya;24/05/2025 06:38
12;@user-rn9xm1xf4t;Kenapa tdk di negara lain tapi harus di Indonesia ?<br>Memang Indonesia negara miskin ya ??<br>Diuji coba saja dlu ke mentri sama keluarga mentri sebelm ke rkyat.<br>Ingat kita pernah dibohongi Amerika dgn Program Namru2..;24/05/2025 06:19
13;@wirosableng4149;saya sudah kena tbc tiga kali dan belum pernah sembuh pak;24/05/2025 05:49
14;@dewisartika6036;Kenapa batin saya menolak untuk percaya sama bapak ini?;24/05/2025 01:48
15;@ngulikustik;"KAMI MENOLAK UJI COBA VAKSIN TBC &quot;BILL GATES&quot; DI INDONESIA";24/05/2025 01:22
16;@saharuddinsaharuddin6249;Negara miskin karna bnyk korupsi;23/05/2025 21:43
17;@saharuddinsaharuddin6249;Pa kemengkes aja yg uji cobah;23/05/2025 21:42
18;@rennyroy3026;Benar cb debat sm darma pangrekun;23/05/2025 20:30
19;@rennyroy3026;Pembohong he km cb ke istri dan anak km dulu baru rakyat pembohong itu bisnis kalian;23/05/2025 20:29
20;@ekadwiprasetya2227;buktinya vaksin covid juga harganya bervariasi , ada yang gratis ada yang bayar ????????;23/05/2025 18:54
21;@WongAka;Paling2 para anggota disuntik bukan obat vaksin tapi...???;23/05/2025 17:48
22;@haidaralim4316;Nggak usah vaksin.contoh x bnyak orang setelah vaksin covid,bnyak yg sakit2an;23/05/2025 17:18
23;@MakmurJaya-n6s;Ya iru vaksin murni untk kemanusiaann,skrg banyak tujuan2 pemusnahan  penduduk,,,;23/05/2025 17:11
24;@BangTguh;LU BANDINGIN WOY BUDI!<br>ANTARA INDONESIA,PAPUA NEW GUINEA DAN YAMAN.. ANGKA KEMATIAN KOPIT DIMANA INDONESIA SUDAH FUCKSIN SEBANYAK 75% DAN KEDUA NEGARA DIATAS HANYA 4% PER 1 JUTA JIWA.<br><br>LEBIH BANYAK MANA TINGKAT KEMATIANNYA?? LEBIH BANYAK INDONESIA PADAHAL UDAH 75% YG FUCKSIN.<br>CEK DI SITUS WORLDOMETER SILAHKAN<br><br>NGOMONG DOANG GEDE LU AH MENTERI KACUNG ELITE GLOBAL;23/05/2025 16:18
25;@noobplayer1994;Antek antek GLOBALIS,,,;23/05/2025 14:12
26;@anggawr9770;Dasar Mentri Bodohhhh lo gk tau Amerika aja gk mau di vaksin menkes amerika aja tolak vaksin eehh ini malah Negara kita yang Bodoh ini mau jadi Kelinci Percobaan .;23/05/2025 11:49
27;@dwiratna878;seharusnya pemerintah hitung kematian dari awal covid sudah hilang..biar keliatan indonesia perharinya ada berapa kematian...paham kan;23/05/2025 10:35
28;@samuelyeremiamuliabaskhara20;Heran kok bisa-bisanya yah di negara ini orang yg title pendidikan nya bukan dari ranah Kedokteran atau Kesehatan kok bisa ga menjabat sebagai Menteri Kesehatan di Republik ini? padahal kalau dilihat segi background pendidikan nya sangat tidak cocok dan tidak pantas menjabat sebagai Menteri Kesehatan. apalagi beliau ini merupakan lulusan dari jurusan Program Studi Nuklir ITB yg notabene orang ini sangat tidak kompeten menjabat di posisi nya sekarang sebagai Menteri Kesehatan. Heran kok bisa-bisanya ya Presiden terdahulu dan Presiden yg sekarang sedang menjabat, bisa menempatkan orang di posisi penting seperti sekelas jabatan Menteri Kesehatan yg mengurusi kesehatan masyarakat Indonesia yg background pendidikan nya tidak sesuai dengan gelar pendidikan akademik nya yg dia emban sewaktu di bangku perkuliahan. miris banget;23/05/2025 09:28
29;@agniguntursugito7684;Latar belakangnya jelas duit. Masyarakat tetap sebagai kelinci percobaan. Kalau mau buka aja lowongan dengan bayaran tertentu jadi hanya orang yang mau yang berpartisipasi.;23/05/2025 07:37
30;@hatsunemiku6335;"gak salah dgr kah? &quot;covid membunuh byk orang, setelah itu bisa dikendalikan begitu vaksin nya keluar&quot;. WTF padahal di konoh yg membunuh byk org justru vaksin nya ????";23/05/2025 00:45
31;@muhamadsmithwayne6496;"Pemerintahan sekrang seprti tidk punya marwah&quot; rakyatnya fi jadikan kelinci percobaan <br>Sama sekali tidk memikirkan soal harga diri bangsa";22/05/2025 19:02
32;@andikvera1578;Bapak dan keluarga bapak dulu ajah ya di faksin....gamana....;22/05/2025 18:58
33;@bangal9801;Lah gua curiga ini buat ngurangin populasi manusia..????;22/05/2025 18:54
