id,username,text,created_at
1,@parvizchanel,Kagak percaya,2025-05-24T09:01:44Z
2,@riyadi1842,Vaksin dewe koe goblk,2025-05-24T08:23:25Z
3,@hjrosida2707,"Menurut pandangan  saya sebagai  rakyat Indonesia asli.<br>Indonesia  bukanlah  negara miskin  , seperti yg dikatakan  bapak menkes ini. <br><br>Negara  Indonesia terkaya didunia  , dilihat dari  sumber daya  alam, baik di atas bumi  ,maupun  di dalam bumi  .",2025-05-24T06:46:23Z
4,@Bilalalfatir2024,Katanya semenjak di faksin bilGet autisme meningkat tu..lupa negara mana y..vietnam entah thailan,2025-05-24T06:26:08Z
5,@NONO53435,"Banyak kali teori menteri ini... <br>Kamu duduk dulu dengan semua elemen, jelaskan kepada publik. <br><br>BERI HAK JAWAB PADA PUBLIK<br>Atau Rakyat Indonesia akan Turun Ke jalan, jika ini terus dipaksakan tanpa penjelasan, kita akan liat gelombang penolakan oleh Rakyat.",2025-05-24T05:39:39Z
6,@MasUdBanda-f1b,"Kalau andaikan vaksin tbc tidak berhasil gimna.. syapa yg mau bertanggung jawal dlam hal ini, dan kalu mau percobaan  boleh, tapi jangan kesemua masyarat, cukuplah ke pejabat&quot; negara dulu, atau ke wakil rakyat.  Na kalu berhasil , barulah di terusin ke masyarakat",2025-05-24T04:46:39Z
7,@sapabae-g3c6v,Menteri tidak berguna,2025-05-24T04:32:30Z
8,@rizkihariyanto3835,Negara paling IKHLAS didunia di korupsi di uji coba di janjiin,2025-05-24T02:52:03Z
9,@dhyanatitik8977,Jangan jadikan  rakyat kita jadi percobaan terkait vaksin !,2025-05-24T02:00:50Z
10,@rejekilancar6840,"Ayolah debat terbuka...jgn jd pengecut. Klo memang vaksin memang baik, kenapa takut debat terbuka???😂😂😂😂 gasss lah debat terbuka...😂😂😂",2025-05-24T01:59:03Z
11,@mohtauhid2069,Kelihatan sekali berbohongnya,2025-05-23T23:38:58Z
12,@user-rn9xm1xf4t,Kenapa tdk di negara lain tapi harus di Indonesia ?<br>Memang Indonesia negara miskin ya ??<br>Diuji coba saja dlu ke mentri sama keluarga mentri sebelm ke rkyat.<br>Ingat kita pernah dibohongi Amerika dgn Program Namru2..,2025-05-23T23:19:59Z
13,@wirosableng4149,saya sudah kena tbc tiga kali dan belum pernah sembuh pak,2025-05-23T22:49:43Z
14,@dewisartika6036,Kenapa batin saya menolak untuk percaya sama bapak ini?,2025-05-23T18:48:07Z
15,@ngulikustik,KAMI MENOLAK UJI COBA VAKSIN TBC &quot;BILL GATES&quot; DI INDONESIA,2025-05-23T18:22:51Z
16,@saharuddinsaharuddin6249,Negara miskin karna bnyk korupsi,2025-05-23T14:43:28Z
17,@saharuddinsaharuddin6249,Pa kemengkes aja yg uji cobah,2025-05-23T14:42:56Z
18,@rennyroy3026,Benar cb debat sm darma pangrekun,2025-05-23T13:30:34Z
19,@rennyroy3026,Pembohong he km cb ke istri dan anak km dulu baru rakyat pembohong itu bisnis kalian,2025-05-23T13:29:50Z
20,@ekadwiprasetya2227,"buktinya vaksin covid juga harganya bervariasi , ada yang gratis ada yang bayar 😂😂",2025-05-23T11:54:36Z
21,@WongAka,Paling2 para anggota disuntik bukan obat vaksin tapi...???,2025-05-23T10:48:57Z
